チーム3回目,1,2,3,4,5
1,A194,A309,A374,A208,A255
2,A204,A341,A366,A373,A281
3,A215,A307,A323,A253,A337
4,A249,A303,A321,A355,A371
5,A191,A227,A305,A317,A320
6,A301,A302,A343,A352,A213
7,A195,A263,A270,A333,A210
8,A251,A290,A292,A369,A205
9,A254,A267,A293,A222,A325
10,A217,A224,A372,A288,A349
11,A181,A260,A362,A238,A328
12,A182,A235,A315,A299,A346
13,A247,A336,A348,A250,A257
14,A212,A330,A370,A287,A289
15,A243,A306,A350,A375,A280
16,A296,A298,A326,A285,A351
17,A229,A240,A282,A233,A340
18,A234,A297,A342,A358,A207
19,A219,A258,A264,A203,A237
20,A242,A316,A331,A241,A266
21,A216,A228,A329,A271,A334
22,A178,A313,A363,A367,A368
23,A261,A277,A312,A356,A295
24,A180,A186,A283,A304,A314
25,A209,A265,A345,A272,A278
26,A231,A244,A248,A353,A357
27,A193,A286,A361,A252,A344
28,A220,A262,A294,A332,A284
29,A198,A274,A322,A246,A359
30,A239,A318,A276,A279,A310
31,A214,A269,A347,A354,A236
32,A202,A327,A364,A232,A338
33,A230,A308,A335,A201,A256
34,A206,A221,A225,A268,A360
35,A223,A273,A319,A245,A311
36,A226,A259,A365,A275,A291
37,A199,A218,A339,A211,A324
